KF utilisée  pr S&OP?;Domaine fonctionnel;type de KF;Priorité;"Statut Configuration (TWM)
Open / WIP / On Hold / Done";Mode alimentation;Commentaire;ID;Name;To be rename;Description;Detailed explanation of the KF (EN);Explication detaillée de la KF (FR);Base Planning Level;stored or calculated;Stored Key Figure;Calculated Key Figure;type de chargement;Source de la donnée;Editable Y/N;règle;commentaires;KF snapshoté?;Count
KF à créer pour S&OP;Supply Review;unique S&OP;3;Open;;;ZSOPINDUSBUDGETVSHISTOPRODM1PCT;Gap Qtés produites vs. Budget industriel M-1 %;Qty Produced vs Prod_SST Bud. M-1 %;comparer indicateur Qté prod/budget indus M vs. Photo M-1 Qté;It represents the ratio in % between the produced quantity in the current month versus the industrial budget quantity in the previous month;Indicateur représentant l'écart en % entre la quantité produite et le budget industriel sur le mois précédent;MTHPRODLOC;calculated;;X;;;Not editable;;;;1
KF à créer pour S&OP;Supply Review;unique S&OP;3;Open;;;ZSOPINDUSBUDGETVSHISTOPROD;compare Qtés produites et budget industriel;Qty Produced vs Prod_SST Bud. N;compare Qtés produites et budget industriel;It represents the gap between the produced quantity and the quantity forecasted in the industrial budget in quantity;Indicateur représentant l'écart en quantité entre la quantité produite et la quantité prévue au budget industriel.;MTHPRODLOC;calculated;;X;;;Not editable;ZHISTOPRODUCTION /  budget industriel;Sur base KF ZHISTOPRODUCTION à comparer avec le budget;;1
KF à créer pour S&OP;Supply Review;unique S&OP;3;Open;;;ZSOPINDUSBUDGETVSHISTOPRODN1;Gap Qtés produites vs. Budget industriel N-1;Qty Produced vs Prod_SST Bud. N-1;comparer indicateur Qté rod/budget indus N vs. Photo N-1 %;It represents the gap in quantity between the produced quantity in the current month versus the industrial budget quantity in the previous year for the same month;Indicateur représentant l'écart en quantité entre la quantité produite et le budget industril de l'année précédente pour le même mois;MTHPRODLOC;calculated;;X;;;Not editable;;;;1
KF à créer pour S&OP;Supply Review;unique S&OP;3;Open;;;ZSOPINDUSBUDGETVSHISTOPRODN1PCT;Gap Qtés produites vs. Budget industriel N-1 %;Qty Produced vs Prod_SST Bud. N-1 %;comparer indicateur Qté rod/budget indus N vs. Photo N-1 Qté;It represents the ratio in % between the produced quantity in the current month versus the industrial quantity in the previous year for the same month;Indicateur représentant l'écart en % entre la quantité produite et le budget industriel de l'année précédente pour le même mois.;MTHPRODLOC;calculated;;X;;;Not editable;;;;1
KF à créer pour S&OP;Supply Review;partagée;1;Done;;;ZSOPZHISTOPRODUCTION;S&OP : Histo des quantités produites;Qty produced_S;Histo. des quantités produites;historical data of the volumes that were actually produced from the factories, including products that are not released for quality purposes;données historiques des volumes de production, incluant les potentiels non-conformes;WKPRODLOC > WKPRODLOCSRC;;X;;manuel;Qlikview Indus;Not editable;;"A utiliser pour charger les données de production dans IBP, à dupliquer avec conforme et non-conforme
Déclarer sur verxion S&OP et chnager le BASE PLANNING LEVEL";;1
KF à créer pour S&OP;Supply Review;partagée;to do;To Do;Capacité +/- : capacité en plus ou en moins vs la capacité nominale;Storage Capacity additionnal;ZREDUCTIONSTORAGE;Capacité - : capacité en moins vs la capacité nominale;Reduction Storage Capacity;;KF to be used in order to reduce temporarily the storage capacity by x nb of pallet space (80x120);"KF à utiliser afin de réduire de façon temporaire la capacitié de stockage par x nb d'emplacements palettes (équivalent 80x120)
Elle est calculée en time series à la maille hebdo.";LOC;stored;X;;;;Y;saisie en valeure positive seulement, nombre entier seulement;à gérer en time series et en masterdata;;
KF à créer pour S&OP;Supply Review;unique S&OP;2;Done;;;ZSOPTONNAGEAVAILABLEHR;Equivalent tonnage heure restante;Remaining line capacity (in T);;It is the remaining available capacity per line expressed in equivalent metric tons. The calculation takes into account the average hourly tonnage of the line (Tonnage Hour Line);C'est la capacité restante par ligne exprimée et equivalent Tonne. Le calcule prend en compte le tonnage horaire moyen de la ligne (Tonnage Hour line);CALWKRESLOC;calculated;;X;;;;heures restantes X tonnage horaire;;;1
KF à déterminer si utile pour S&OP?;Supply Review;unique S&OP;1;Done;calculée;Baseline / Output Fcst Consmp;ZSOPFORECASTOPENOUTPUT;Remaining Location Forecast;Remaining Location Forecast_S;Remaining Location Forecast;remaining location forecast once deducted existing open orders on the same period bucket;prévisions restante une fois déduites les commandes ouvertes sur la même période;WKPRODLOCCUST;;X;;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique SOP;1;Done;copie version;;ZSTORAGECAPACITY;Storage Capacity;Storage Capacity;Storage Capacity (Nb of 80x120 pallets);total storage capacity of the location in nb of 80x120 pallets format;capacité de stockage totale de l'entrepôt ramené en équivalent 80x120;CALWKLOC;;X;;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique SOP;1;Done;;;ZTARGETSTKCOVERAGE;Target stock coverage Bridor;Target stock coverage Bridor_S;Target stock coverage Bridor;this is the target stock that BRIDOR is aiming for. This will allow us to understand the cap in nb of days cover between our target stock cover and our actual stock cover;cela représente le niveau de couverture cible souhaité par BRIDOR. Cet indicateur permettra de mieux comprendre l'écart entre notre couverture cible et la couverture réelle à date;WKPRODLOC;;;X;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique S&OP;1;Done;copie version;;SUBPERIODSOFSUPPLY;Target Subperiods of Supply;Target Subperiods of Supply_S;Time-Series-Based Supply Planning Input: Number of future subperiods in each period of the additional coverage time span in which you want to build up safety stock. Used only with the periods of the supply lot-sizing procedure.;;;WKPRODLOC;;X;X;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique S&OP;1;Done;;Baseline / Output Fcst Consmp;TOTALDEMANDOUTPUT;Total Location Cust. Demand;Total Location Cust. Demand_S;Total Location Cust. Demand;this is taking what ever is the highest between the customer forecast and the actual open orders;cela prend en compte la valeurs la plus élevées entre les commandes clients et la prévisions clients;WKPRODLOCCUST;;X;;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique SOP;1;Done;;;ZLOCDEMAND;Total Location Demand;Total Location Demand_S;Total Location Demand;this us the sum of independent + dependent demand on the location;c'est la somme de la demande indépendante et dépendante sur la divison;WKPRODLOC;;;X;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;partagée;1;On Hold as not used today;;Non utilisé;TLEADTIME;Transportation Lead Time;Transportation Lead Time_S;Inventory Optimization Input: Transportation lead time in weeks (can be a decimal number).;Transportation Lead Time;délai de transport;WKPRODLOCLOCFR;;X;X;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;partagée;1;On Hold as not used today;;Non utilisé;TMINLOTSIZE;Transportation Minimum Lot Size;Transportation Minimum Lot Size_S;Inventory Optimization Input: Transportation minimum lot size.;Transportation Minimum Lot Size;taille de lot mini pour le transport;WKPRODLOCLOCFR;;X;X;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;partagée;1;Done;;;ZINDEPDEMANDCOPY;FB - Independent Demand - Copy;FB - Independent Demand - Copy;Target Key Figure to Store the Demand 'Cuit' on the Product 'Cru';;;CALWKPRODLOC;;X;X;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;partagée;1;Done;;;ZINDEPDEMANDCRU;FB - Independent Demand - Cru;FB - Independent Demand - Cru;FB - Independent Demand - Cru;;;CALWKPRODLOC;;;X;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique SOP;1;Done;;;ZINDEPDEMANDSHIFT;TECH - Shift FB Demand;TECH - Shift FB Demand;TECH - Shift FB Demand;;;CALWKPRODLOC;;X;;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique SOP;1;On Hold;;N'existe pas;ZKPIDYNAMICCOVERAGEDAY;ZKPIDYNAMICCOVERAGEDAY;ZKPIDYNAMICCOVERAGEDAY;Nombre de périodes couvertes par le stock projeté (jours);;;CALWKPRODLOC;;;X;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique SOP;1;Done;;;ZPRDCRUCOEF;FB - Coefficient;FB - Coefficient;FB - Coefficient;;;WKPROD;;X;;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique SOP;1;Done;;;ZRECEIPTROUNDING;External Receipts Transportation Rounding;External Receipts Transportation Rounding;External Receipts Transportation Rounding;;;WKPRODLOC;;;X;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique SOP;1;Done;;;ZRECONDPRODREQ;Production Requirements (repacking);Production Requirements (repacking);Production Requirements (repacking);;;WKPRODLOC;;X;;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique SOP;1;Done;copie version;;ZSUBPERIODSOFSUPPLY;Target Subperiods of Supply;Target Subperiods of Supply;Target Subperiods of Supply;;;WKPRODLOC;;X;;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique SOP;1;Done;copie version;;ZSUBPERIODSOFSUPPLYSAFETYSTOCK;Subpr. of Supply with Safety Stk;Subpr. of Supply with Safety Stk;Subperiods of Supply with Safety Stock;;;WKPRODLOC;;X;;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique SOP;1;Done;;;ZTEMPDYNAMICCOVERAGE;TECH - Couverture Dynamique Temporaire;TECH - Couverture Dynamique Temporaire;TECH - Couverture Dynamique Temporaire;;;WKPRODLOC;;;X;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique SOP;1;Done;;;ZTEMPDYNAMICCOVERAGESFS;TECH - Couverture Dynamique Temporaire - SFS;TECH - Couverture Dynamique Temporaire - SFS;TECH - Couverture Dynamique Temporaire - SFS;;;WKPRODLOC;;;X;;;;;;;1
KF à créer pour S&OP;Supply Review;;;Progress;;;ZSOPDRINPREPVSPROD;Demand Review Forecast In Prep VS Production Receipts;Demand Review Forecast In Prep VS Production Receipts;;;;;;;;;;;;;;1
KF à créer pour S&OP;Supply Review;;;Progress;;;ZSOPOPENDAYSLOCPRD;Open Days - Loc Prd lvl;Open Days - Loc Prd lvl;;;Cette KF donne le nbr de jour au niveau de location;WKPRODLOC;calculated;;;;;Not editable;;;;1
KF à créer pour S&OP;Supply Review;unique SOP;1;Done;;;ZKPIDYNAMICCOVERAGE5;Dynamic Stock Coverage in days 5;Dynamic Stock Coverage in days 5;Nombre de périodes couvertes par le stock projeté;dynamic stock coverage calculated at PF level;couverture de stock dynamique au niveau produit fini, calculée sur la base de 5 jours ouvrés;CALWKPRODLOC;;;X;;;;;;;
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPTOTALENTRY;Total Entry;Total Entry;;Planned stock receipts including Production receipts and External receipts. For past months, historical stock entries are taken into account;receptions de stock planifiées contenant les Production receipts et les External receipts. Pour les mois passés on prend en compte l'historique des entrées de stock.;WKPRODLOC;calculated;;X;;;Not editable;;;;
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPDRINPREPVSTOTALENTRY;DR Fcst In Prep vs Total Entry;DR Fcst In Prep vs Total Entry;;Quantity gap between the DR Forecast in Prep volume and the Total Entry.;Ecart en quantité entre le volume de DR Forecast in Prep et le Total Entry.;WKPROD;calculated;;X;;;Not editable;;;;
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPDRFCSTVSTOTALENTRY;DR Fcst vs Total Entry;DR Fcst vs Total Entry;;Quantity gap between the DR Forecast volume and the Total Entry.;Ecart en quantité entre le volume de DR Forecast et le Total Entry.;WKPROD;calculated;;X;;;Not editable;;;;
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPFILLINGTRUCKS;Nb of filling trucks;Nb of filling trucks;;"Projected stock in pallets expressed in truck equivalents.
For pallet 100/120, divide by 26 pallets; for pallet 80/120, divide by 33.";Stock projeté palette exprimé en equivalent camion. Pour les 100/120 on divise par 26 pallet et pour les 80/120 on divise par 33 ?;WKPRODLOC;calculated;;X;;;Not editable;;;;
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPPROJFULLTOTALENTRY;Projected Full Total Entry;Projected Full Total Entry;;"This KF It is the total of the KF Total Entry and KF SOP  Remaining Capacity.
It provides an estimate of future entries in case of resource saturation.";C'est le total de la KF Total Entry et du SOP - Remaining capacity. Il donne une estimation des entrées futures en cas de saturation des ressources;WKPRODLOC;calculated;;X;;;Not editable;;;;
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPDRINPREPVSFULLTOTALENTRY;DR Fcst In Prep vs Projected Full Total Entry;DR Fcst In Prep vs Projected Full Total Entry;;Gap in quantity between between DR Fcst In Prep and Projected Full total Entry;Ecart en quantité entre la DR Fcst In prep et la projected full Total entry;WKPROD;calculated;;X;;;Not editable;;;;
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPDRFCSTVSFULLTOTALENTRY;DR Fcst vs Projected Full Total Entry;DR Fcst vs Projected Full Total Entry;;Gap in quantity between between DR Fcst and Projected Full total Entry;Ecart en quantité entre la DR Fcst et la projected full Total entry;WKPROD;calculated;;X;;;Not editable;;;;
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPADJUSTEDPRODRECDT;SOP - Adjusted Production - RECDT Lines;SOP - Adjusted Production - RECDT Lines;;;;WKPRODLOCSRC;calculated;;X;;;;;;;
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPCALCCAPA;SOP - Calculate Remaining Capa;SOP - Calculate Remaining Capa;;Intermediate KF used for calculation of the KF SOP - calculated Remaining Capa;KF intermédiaire utilisée dans le calcul de la KF SOP - calculated Remaining Capa;SOPWKRESPROD;calculated;;X;;;;;;;
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPCONSENSUSCUSTLAGINPUT;Consensus S&OP - Cust level - Lag Input;Consensus S&OP - Cust level - Lag Input;;;;WKPRODCUST;calculated;;X;;;;;;;
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPFILLINFTRUCKS;Nb of Filling Trucks;Nb of Filling Trucks;;Estimation of projected stock in truck equivalent. If pallet = 100/120 => divide by 26, otherwise divide by 33.;Estimation du stock projeté en equivalent camion. si palette = 100/120 => division par 26, sinon division par 33;WKPRODLOC;calculated;;X;;;;;;;
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPFULLTOTALENTRYVSLANDDRFCST;ZSOPFULLTOTALENTRYVSLANDDRFCST;ZSOPFULLTOTALENTRYVSLANDDRFCST;;;;WKPROD;calculated;;X;;;;;;;
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPHPCAPADEMAND;Capacity Demand of Production ResourceS&OP - PCAPADEMAND;Capacity Demand of Production ResourceS&OP - PCAPADEMAND;;Capacity demand of producion resource for S&OP version.;nombre d'heures actuelles d'ouvertures consommées. ;;;;;;;;;;;
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPINDEPENDENTDEMANDINPUT;DR Fcst_location - Snapshot Input;DR Fcst_location - Snapshot Input;;;;WKPRODLOC;calculated;;X;;;;;;;
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPINDUSBUDGETOFFSETM1;Prod_SST Bud. M-1;Prod_SST Bud. M-1;;Production budget for the pas month;Budget de production pour le mois M-1;MTHPRODLOC;calculated;;X;;;;;;;
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPINDUSBUDGETOFFSETN1;Prod_SST Bud. N-1;Prod_SST Bud. N-1;;Production budget for the past year;Budget de production pour l'année N-1;MTHPRODLOC;calculated;;X;;;;;;;
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPLANDDRFCSTVSFULLTOTALENTRY;Projected Full Total Entry vs Landing DR Fcst;Projected Full Total Entry vs Landing DR Fcst;;Gap in quantity between Landing DR Fcst and Projected Full total Entry;Ecart en quantité entre l elanding DR Fcst et la projected full Total entry;WKPROD;calculated;;X;;;;;;;
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPPRODBUDVSTOTALENTRY;Prod. Bud vs Proj. Full Total Entry;Prod. Bud vs Proj. Full Total Entry;;KF that compares future inputsconsidering resource saturationwith the production budget, with the difference expressed in units;KF qui compare les entrées futures, en considérant une saturation des ressources, avec le budget de production. Ecart exprimé en quantité.;MTHPRODLOC;calculated;;X;;;;;;;
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPREMCAPACALCULATED;SOP - Calculated Remaining Capa;SOP - Calculated Remaining Capa;;"This KF is calculating the output quantities based on the remaining hours and information entered in the master data Resource Product Capacity following the below formula : 
	 ( ( SOP  Remaining Capacity * SOP : Rem. Capa. (%) ) / 100 ) / SOP : Capa. Cons. Rate It is stored at level technical week/ product /location";Cette KF calcule la quantité restante en Tonnage basée sur le nb d'heures restantes disponibles sur la resource avec la formule  ((SOP  Remaining Capacity * SOP : Rem. Capa. (%) ) / 100 ) / SOP : Capa. Cons. Rate;WKPRODLOC;stored;X;;;;;;;;
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPRESUSAGE;% Usage of opening time;% Usage of opening time;;Percentage of utilization of a resource. It compares the actual production time requirement on the line to the total available opening time with bias;C'est le pourcentage final d'utilisationde la resource. Il compare le temps de proudction utilisé sur la ligne (acual usage) avec les heures d'ouverture totales avec prise en compte du biais;MTHRESLOC;calculated;;X;;;Not editable;;;;
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPSTORAGECAPACITYUSAGE;Filling rate WH %_S;Filling rate WH %_S;Location Storage Usage;this will calculate a filling rate for each warehouse location by comparing the location storage usage (projected stock) with the storage capacity of the same location;cela va calculer le taux de remplissage de chaque entrepôt en comparant l'utilisation faite (stock projeté) avec la capacité totale de stockage;MTHPRODLOC;calculated;;X;;;;;;;
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPADJUSTEDPRODRECDT;SOP - Adjusted Production - RECDT Lines;SOP - Adjusted Production - RECDT Lines;;;;WKPRODLOCSRC;calculated;;X;;;;;;;
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOP80120EQPROJECTEDSTOCK;80x120 Equivalent Projected Stock (PAL);80x120 Equivalent Projected Stock (PAL);;Projected stock in nb of 80x120 pallets format;Stock projeté ramené en équivalent palette 80x120;WKPRODLOC;calculated;;X;;;;;;;
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPSTORAGECAPACITY;Storage Capacity_S;Storage Capacity_S;Storage Capacity (Nb of 80x120 pallets);total storage capacity of the location in nb of 80x120 pallets format;capacité de stockage totale de l'entrepôt ramené en équivalent 80x120;WKLOC;stored;X;;;;;;;;
KF existante à reprendre pour S&OP;;unique S&OP;;Done;;;DEPENDENTDEMAND;Dependent Demand;Dependent Demand_S;Time-Series-Based Supply Planning: Sum of all dependent demands (dependent customer demand, dependent location demand, and dependent production demand) for the location product.;this is the dependant demand for each location, usually stock to be transfered to another location or semi-finished products to be used in another manufacturing process;c'est la demande dépendante propre à chaque site de départ, généralement du stock à transférer vers un autre lieu de stockage ou alors des produits semi-finis qui seront utilisés au cours d'un autre process de fabrication;WKPRODLOC;;X;;;;;;;;1
KF à créer pour S&OP;;;;Progress;;;ZSOPINDEPENDENTDEMAND;Independant demand_S;Independant demand_S;;this is the independant demand for each location;c'est la demande indépendante propre à chaque site de départ;WKPRODLOC;;;;;;;;Use to display KF independant demand in S&OP;;1
;;;;;;;ZSOPLANDINGCONSUMPZMPZEMB;;landing consumption ZMP_EMB;;To be used only on the fix 12 month horizon. For the current year, consolidation of consumption data from past & future in one same KF in order to be able to project the landing of the year in total consumption.  For the currrent months, past weeks = consumption qty and current/future weeks = planned consumption;A utiliser uniquement sur l'horizon fixe de 12 mois. Pour l'année en cours, il s'agit des volumes consolidés entre les volumes de consommation de ZMP e ZEMB sur les mois passés avec les volumes prévus de consommation de ZMP et ZEMB sur les mois à venir. Pour le mois en cours, sur les semaines passées = qtés consommées et pour la semaine en cours/à venir = consommations planifiées;;;;;;;;;;;
KF existante à reprendre pour S&OP;;unique S&OP;;Done;;;COVERAGE;Projected Periods of Coverage;pas besoin en affichage;Time-Series-Based Supply Planning Output: Number of periods for which the dependent demand can be satisfied by the projected inventory of a period.;;;WKPRODLOC;;X;;;;;;On souhaite conserver un niveau de consultation at. request;;1
KF existante à reprendre pour S&OP;;partagée;;Done;;;CRATIO;Customer Sourcing Ratio;pas besoin en affichage;Customer Sourcing Ratio;;;PRODLOCCUST;;X;;;;;;;;1
KF existante à reprendre pour S&OP;;partagée;;Done;;;CUSTOMERRATIO;Customer Sourcing Ratio;pas besoin en affichage;Time-Series-Based Supply Planning Heuristic Input: Ratio for sourcing customer demand for a product from various ship-from locations. Not relevant for the optimizer.;;;WKPRODLOCCUST;;X;;;;;;;;1
KF existante à reprendre pour S&OP;;unique S&OP;;Done;;;DEPENDENTLOCATIONDEMAND;Outbound Location Demand;pas besoin en affichage;Time-Series-Based Supply Planning Output: Transport demand (at receiving location). Demand propagated from a receiving location to a ship-from location that is needed to satisfy the net demand of the receiving location.;;;WKPRODLOCLOCFR;;X;;;;;;;;1
KF existante à reprendre pour S&OP;;unique S&OP;;Done;;;DEPENDENTLOCATIONDEMANDDS;Dependent Location Demand DS;pas besoin en affichage;Time-Series-Based Supply Planning Output: Transport demand (at supplying location).;;;WKPRODLOCLOCTO;;X;;;;;;;;1
KF existante à reprendre pour S&OP;;unique S&OP;;Done;;;DEPENDENTPRODUCTIONDEMAND;Outbound Production Demand;pas besoin en affichage;Time-Series-Based Supply Planning Output: Demand for components (input products) derived from the net demand of a finished or semi-finished product, according to the defined component coefficient.;;;WKPRODLOCCOMPSRC;;X;;;;;;A confirmer?;;1
KF existante à reprendre pour S&OP;;unique S&OP;;Done;;;DEPENDENTPRODUCTIONDEMANDDS;Dependent Production Demand;pas besoin en affichage;Time-Series-Based Supply Planning Output: Component demand (at component).;;;WKPRODTOLOCPRODSRC;;X;;;;;;A confirmer?;;1
KF existante à reprendre pour S&OP;;partagée;;On Hold;;Non utilisé;IOENDONHANDSTOCK;IO Ending On Hand Stock;pas besoin en affichage;Inventory Optimization Output: End of period on-hand stock.;;;WKPRODLOC;;X;;;;Not editable;;;;1
KF existante à reprendre pour S&OP;;;;;;;ZRSFORECASTOPENORDERSQTYMTSMTO;Open Order Quantity - for Fcst & Fcst Consumption - R&S;pas besoin en affichage;;;;;;;;;;;;;;1
KF existante à reprendre pour S&OP;;;;;;;ZRSOPENORDERSQTY;Total Open Order - R&S;pas besoin en affichage;;;;;;;;;;;;;;1
KF existante à reprendre pour S&OP;;;;;;;PRDID;Product ID;Product code;Product ID;;;;;;;;;;;;;1
;;;;;;;ZSOPINDUSBUDGETVSHISTOPRODPCT;compare Qtés produites et budget industriel;Qty Produced vs Prod_SST Bud. N%;compare Qtés produites et budget industriel;It represents the ratio between the produced quantity and the quantity forecasted in the industrial budget in %;Indicateur représentant le rapport en % entre la quantité produite et la quantité prévue au budget industriel.;;;;;;;;;;;
KF existante à reprendre pour S&OP;;unique S&OP;;Done;;;ZAOPQTY;Quantité Budget;Sales Bud;S&OP: Monthly quantity from annual operating plan. Can be imported from external system.;This is the sales budget from BRIDOR;Il s'agit du budget commercial BRIDOR;WKPRODCUST;;X;;manuel;;Editable;désagregation: Sur la base de TotalForecast;A utiliser pour le budget commercial. On pourra limiter l'acces à l'editabilité;;1
KF existante à reprendre pour S&OP;;unique S&OP;;Done;;;CONSTRAINEDDEMAND;Customer Receipts;Customer Receipts;Time-Series-Based Supply Planning Output: Product quantity supplied from a location to a customer. Calculated by the TS supply planning algorithm.;;;WKPRODLOCCUST;;X;;;;;;A vérifier si utilisé par R&S?;;1
KF existante à reprendre pour S&OP;;;;Done;;;PERIODID1;PERIODID1;PERIODID1;Cross Application: Refers to yearly time period. The attribute transformation of PERIODID1 offsets the time period by 1 year for input key figure ACTUALSQTYPRIORYEAR.;;;;;;;;;;;;;1
KF existante à reprendre pour S&OP;;;;Done;;;PERIODID2;PERIODID2;PERIODID2;Cross Application: Refers to quarterly time period. The attribute transformation of PERIODID2 offsets the time period by 4 quarters (that is, 1 yr) for input key figure ACTUALSQTYPRIORYEAR.;;;;;;;;;;;;;1
KF existante à reprendre pour S&OP;;;;Done;;;PERIODID3;PERIODID3;PERIODID3;Cross Application: Refers to monthly time period. The attribute transformation of PERIODID3 offsets the time period by 12 months for input key figure ACTUALSQTYPRIORYEAR.;;;;;;;;;;;;;1
KF existante à reprendre pour S&OP;;;;Done;;;PERIODID4;PERIODID4;PERIODID4;Cross Application: Refers to weekly time period. The attribute transformation of PERIODID4 offsets the time period by 52 weeks (i.e. 1 yr) for input key figure ACTUALSQTYPRIORYEAR.;;;;;;;;;;;;;1
KF existante à reprendre pour S&OP;;;;Done;;;PERIODID5;PERIODID5;PERIODID5;Cross Application: Refers to technical week time period. The attribute transformation of PERIODID5 offsets the time period by 62 technical weeks for input key figure ACTUALSQTYPRIORYEAR.;;;;;;;;;;;;;1
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPREPORTREMCAPA;SOP - Remaining Capacity (h);SOP - Remaining Capacity (h);;SOP  Remaining Capacity (h) is holding the hours of remaining capacity . This key figure is stored at the below level : Technical Week/SOP : Product/SOP : Resource;SOP  Remaining Capacity (h) représente la capacité restante en heures. Elle est stockée au niveau: semaine technique/SOP : Product/SOP : Resource;SOPWKRES;stored;X;;;;;;;;
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPTOTALDEMANDOUTPUT;S&OP : Total Loc Cust Dmd;S&OP : Total Loc Cust Dmd;;KF  for  S&OP which is taking what ever is the highest between the customer forecast and the actual open orders;KF S&OP qui prend en compte la valeurs la plus élevées entre les commandes clients et la prévisions clients;WKPRODLOCCUST;calculated;;X;;;;;;;
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPTOTALENTRYVSPRODBUD;Proj. Full Total Entry vs Prod. Bud (%);Proj. Full Total Entry vs Prod. Bud (%);;KF that calculates the percentage ratio between future inputs (considering resource saturation) and the production budget;KF qui  calcule le ration en pourcentage entre les entrées futures, ( en considérant une saturation des ressource), avec le budget de production.;MTHPRODLOC;calculated;;X;;;;;;;

